iter	Passed	Remaining
0	3	3725
1	8	4204
2	10	3588
3	14	3584
4	18	3778
5	22	3760
6	26	3750
7	30	3787
8	33	3686
9	37	3726
10	41	3719
11	45	3711
12	49	3761
13	53	3752
14	56	3710
15	61	3802
16	64	3745
17	69	3817
18	73	3771
19	77	3817
20	81	3779
21	87	3878
22	91	3890
23	96	3932
24	100	3915
25	103	3873
26	107	3858
27	111	3883
28	115	3874
29	119	3868
30	122	3840
31	128	3887
32	131	3848
33	134	3815
34	138	3806
35	141	3795
36	145	3781
37	149	3776
38	153	3773
39	159	3830
40	164	3841
41	167	3814
42	174	3892
43	178	3872
44	181	3851
45	183	3805
46	186	3777
47	189	3758
48	192	3730
49	195	3720
50	198	3686
51	201	3666
52	204	3653
53	207	3631
54	210	3609
55	213	3596
56	216	3579
57	219	3568
58	222	3548
59	225	3536
60	229	3527
61	232	3510
62	234	3493
63	238	3481
64	240	3465
65	245	3473
66	249	3473
67	254	3494
68	258	3487
69	261	3480
70	264	3463
71	267	3449
72	270	3438
73	273	3425
74	276	3414
75	279	3399
76	282	3389
77	285	3379
78	289	3371
79	291	3357
80	295	3350
81	298	3338
82	300	3325
83	304	3316
84	305	3292
85	308	3280
86	312	3275
87	315	3266
88	318	3260
89	321	3253
90	325	3247
91	333	3290
92	343	3354
93	348	3357
94	359	3424
95	362	3415
96	365	3402
97	369	3397
98	372	3388
99	374	3367
100	381	3394
101	384	3380
102	388	3384
103	398	3435
104	402	3430
105	407	3434
106	410	3424
107	413	3413
108	416	3401
109	418	3386
110	421	3378
111	424	3366
112	426	3351
113	429	3340
114	433	3332
115	436	3327
116	439	3316
117	442	3306
118	445	3295
119	448	3285
120	451	3279
121	454	3271
122	457	3263
123	460	3253
124	463	3245
125	466	3238
126	469	3229
127	472	3220
128	475	3211
129	478	3203
130	481	3197
131	484	3182
132	486	3173
133	490	3167
134	492	3158
135	495	3149
136	498	3141
137	501	3133
138	504	3127
139	508	3121
140	513	3131
141	517	3124
142	519	3116
143	523	3109
144	525	3101
145	528	3093
146	531	3085
147	533	3073
148	536	3064
149	539	3055
150	541	3044
151	543	3034
152	547	3028
153	549	3021
154	553	3015
155	556	3009
156	559	3004
157	561	2994
158	564	2985
159	566	2975
160	569	2968
161	572	2960
162	575	2954
163	577	2946
164	580	2939
165	583	2932
166	586	2926
167	589	2919
168	591	2909
169	594	2901
170	597	2897
171	599	2887
172	602	2882
173	605	2875
174	608	2867
175	611	2861
176	613	2853
177	616	2848
178	618	2838
179	621	2829
180	626	2835
181	630	2832
182	638	2850
183	643	2852
184	648	2857
185	653	2861
186	658	2863
187	664	2868
188	669	2872
189	674	2876
190	682	2892
191	685	2884
192	687	2874
193	690	2868
194	692	2860
195	695	2853
196	698	2847
197	701	2839
198	704	2835
199	707	2829
200	709	2822
201	712	2814
202	715	2808
203	717	2800
204	720	2793
205	722	2786
206	725	2780
207	728	2772
208	730	2765
